Date,Item,Price,Day,Month,Year
2023-01-01,Rice,40,1,1,2023
2023-01-01,Wheat,30,1,1,2023
2023-01-01,Sugar,45,1,1,2023
2023-01-01,Milk,52,1,1,2023
2023-01-01,Onion,30,1,1,2023
2023-01-01,Oil,120,1,1,2023
2023-01-02,Onion,31,2,1,2023
2023-01-02,Milk,53,2,1,2023
2023-01-02,Oil,122,2,1,2023
2023-01-02,Sugar,46,2,1,2023
2023-01-02,Wheat,31,2,1,2023
2023-01-02,Rice,41,2,1,2023
2023-01-03,Wheat,33,3,1,2023
2023-01-03,Rice,42,3,1,2023
2023-01-03,Oil,121,3,1,2023
2023-01-03,Onion,29,3,1,2023
2023-01-03,Sugar,47,3,1,2023
2023-01-03,Milk,51,3,1,2023
2023-01-04,Milk,54,4,1,2023
2023-01-04,Sugar,48,4,1,2023
2023-01-04,Wheat,34,4,1,2023
2023-01-04,Rice,43,4,1,2023
2023-01-04,Onion,32,4,1,2023
2023-01-04,Oil,123,4,1,2023
